rowid	repo	accession	data url	total citations	article reference note; see also: 'COMMENTS'	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	How many merged citation records?	WoS Cited by how many?	COMMENTS	Google Scholar Search Term	Search results	Dropbox filenames (for multiple files or multiple citations)	Imported to Mendeley?	Link ot GS results	MONTH_wos_citingPaper_colxn	DAY_wos_citingPaper_colxn	YEAR_wos_citingPaper_colxn	string matched to (partial) file name to extract data collection date data	Journal (for Journal Archives Set)	"date made public (ArrayExpress, GEO)"	WOS cited by collected (HEPData)	Published and PrePrint INFO (HEPData)	"authors (GEOROC, Journal Archives (International Studies Quarterly = authors (pub. Yr.))"	"jrnl vol year pages (GEOROC); year (ICPSR); pub month, year, volume, issue (JournalArchives - but NOT: International Studies Quarterly; Journal of Peace Research = vol, issue only)"	"article title (GEOROC, JournalArchives)"	misc bibliographic (Biostats; Journal of Applied Econometrics; Journal of Conflict Resolution; International Studies Quarterly); page numbers( Journal of Money Credit and Banking; The Federal Reserve Bank of St Louis Review; American Economic Review); author_title ( Journal of Peace Research)	"article ref when multiple in record, if there was a difference in scope, this version is less inclusive (JournalArchives); article ref from data source (TreeBase)"	data citation (dataset doi) OLD that differ from NEW dataset DOI's (Pangaea)	Total Data Reuses (Pangaea)	Unable to access full text (Pangaea)	Date Recorded (Pangaea)
797	Journal Archives	142	NA	11	NA	"Joseph Paul Vasquez III. Shouldering the Soldiering: Democracy, Conscription, and Military Casualties. Conflict Resolution. December 2005; 49 (6)"	NA	NA	y	1	1	11	NA	NA	NA	NA	NA	NA	Feb	19	2011	142	Conflict Resolution	NA	NA	NA	Joseph Paul Vasquez III	December 2005; 49 (6)	"Shouldering the Soldiering: Democracy, Conscription, and Military Casualties"	"Journal of Conflict Resolution December 2005 49: 849-873, doi:10.1177/0022002705281151"	"Joseph Paul Vasquez III. Shouldering the Soldiering: Democracy, Conscription, and Military Casualties. Conflict Resolution. December 2005; 49 (6)"	NA	NA	NA	NA
798	Journal Archives	143	NA	6	NA	"Michael Koch and Scott Sigmund Gartner. Casualties and Constituencies: Democratic Accountability, Electoral Institutions, and Costly Conflicts. Conflict Resolution. December 2005; 49 (6)"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	143	Conflict Resolution	NA	NA	NA	Michael Koch and Scott Sigmund Gartner	December 2005; 49 (6)	"Casualties and Constituencies: Democratic Accountability, Electoral Institutions, and Costly Conflicts"	"Journal of Conflict Resolution December 2005 49: 874-894, doi:10.1177/0022002705281149"	"Michael Koch and Scott Sigmund Gartner. Casualties and Constituencies: Democratic Accountability, Electoral Institutions, and Costly Conflicts. Conflict Resolution. December 2005; 49 (6)"	NA	NA	NA	NA
799	Journal Archives	144	NA	30	NA	Eric Neumayer. Do International Human Rights Treaties Improve Respect for Human Rights?. Conflict Resolution. December 2005; 49 (6)	NA	NA	y	1	1	30	NA	NA	NA	NA	NA	NA	Feb	19	2011	144	Conflict Resolution	NA	NA	NA	Eric Neumayer	December 2005; 49 (6)	Do International Human Rights Treaties Improve Respect for Human Rights?	"Journal of Conflict Resolution December 2005 49: 925-953, doi:10.1177/0022002705281667"	Eric Neumayer. Do International Human Rights Treaties Improve Respect for Human Rights?. Conflict Resolution. December 2005; 49 (6)	NA	NA	NA	NA
801	Journal Archives	145	NA	12	NA	"Ron, James; Howard Ramos; and Kathleen Rodgers (2005). Transnational Information Politics: NGO Human Rights Reporting, 1986-2000 . International Studies Quarterly. International Studies Quarterly 49(2): 557-587."	NA	NA	y	1	1	12	NA	NA	NA	NA	NA	NA	Feb	19	2011	145	International Studies Quarterly	NA	NA	NA	"Ron, James; Howard Ramos; and Kathleen Rodgers (2005)"	NA	"Transnational Information Politics: NGO Human Rights Reporting, 1986-2000 "	International Studies Quarterly 49(2): 557-587.	"Ron, James; Howard Ramos; and Kathleen Rodgers (2005) Transnational Information Politics: NGO Human Rights Reporting, 1986-2000 International Studies Quarterly 49(2): 557-587."	NA	NA	NA	NA
802	Journal Archives	146	NA	18	NA	"Neumayer, Eric (2005). Bogus Refugees? The Determinants of Asylum Migration to Western Europe. International Studies Quarterly. International Studies Quarterly 49(3): 389-410"	NA	NA	y	1	1	18	NA	NA	NA	NA	NA	NA	Feb	19	2011	146	International Studies Quarterly	NA	NA	NA	"Neumayer, Eric (2005)"	NA	Bogus Refugees? The Determinants of Asylum Migration to Western Europe	International Studies Quarterly 49(3): 389-410	"Neumayer, Eric (2005): Bogus Refugees? The Determinants of Asylum Migration to Western Europe International Studies Quarterly 49(3): 389-410. "	NA	NA	NA	NA
803	Journal Archives	147	NA	9	NA	"Mullenbach, Mark J. (2005). . Deciding to Keep Peace: An Analysis of International Influences on the Establishment of Third-Party Peacekeeping Missions.. International Studies Quarterly.  International Studies Quarterly 49(3): 529-555."	NA	NA	y	1	1	9	NA	NA	NA	NA	NA	NA	Feb	19	2011	147	International Studies Quarterly	NA	NA	NA	"Mullenbach, Mark J. (2005). "	NA	Deciding to Keep Peace: An Analysis of International Influences on the Establishment of Third-Party Peacekeeping Missions.	International Studies Quarterly 49(3): 529-555.	"Mullenbach, Mark J. (2005). Deciding to Keep Peace: An Analysis of International Influences on the Establishment of Third-Party Peacekeeping Missions. International Studies Quarterly 49(3): 529-555."	NA	NA	NA	NA
804	Journal Archives	148	NA	3	NA	"Starr, Harvey and G. Dale Thomas (2005). The Nature of Borders and International Conflict: Revisiting Hypotheses on Territory. International Studies Quarterly. International Studies Quarterly 49(1)"	NA	NA	y	1	1	3	NA	NA	NA	NA	NA	NA	Feb	19	2011	148	International Studies Quarterly	NA	NA	NA	"Starr, Harvey and G. Dale Thomas (2005)"	NA	The Nature of Borders and International Conflict: Revisiting Hypotheses on Territory	International Studies Quarterly 49(1)	"Starr, Harvey and G. Dale Thomas (2005): The Nature of Borders and International Conflict: Revisiting Hypotheses on Territory. International Studies Quarterly 49(1)."	NA	NA	NA	NA
805	Journal Archives	149	NA	7	NA	"Shadlen, Kenneth C.; Andrew Schrank; and Marcus J. Kurtz (2005). The Political Economy of Intellectual Property Protection: The Case of Software. International Studies Quarterly. International Studies Quarterly 49(1)"	NA	NA	y	1	1	7	NA	NA	NA	NA	NA	NA	Feb	19	2011	149	International Studies Quarterly	NA	NA	NA	"Shadlen, Kenneth C.; Andrew Schrank; and Marcus J. Kurtz (2005)"	NA	The Political Economy of Intellectual Property Protection: The Case of Software	International Studies Quarterly 49(1)	"Shadlen, Kenneth C.; Andrew Schrank; and Marcus J. Kurtz (2005): The Political Economy of Intellectual Property Protection: The Case of Software. International Studies Quarterly 49(1)."	NA	NA	NA	NA
806	Journal Archives	150	NA	14	NA	"Fordham, Benjamin O. and Thomas C. Walker (2005). Kantian Liberalism, Regime Type and Military Resource Allocation: Do Democracies Spend Less? . International Studies Quarterly. International Studies Quarterly 49(1)"	NA	NA	y	1	1	14	NA	NA	NA	NA	NA	NA	Feb	19	2011	150	International Studies Quarterly	NA	NA	NA	"Fordham, Benjamin O. and Thomas C. Walker (2005)"	NA	"Kantian Liberalism, Regime Type and Military Resource Allocation: Do Democracies Spend Less? "	International Studies Quarterly 49(1)	"Fordham, Benjamin O. and Thomas C. Walker (2005): Kantian Liberalism, Regime Type and Military Resource Allocation: Do Democracies Spend Less? International Studies Quarterly 49(1)."	NA	NA	NA	NA
807	Journal Archives	151	NA	19	NA	"Brooks, Sarah M. (2005). Interdependent and Domestic Foundations of Policy Change. International Studies Quarterly. International Studies Quarterly 49(2)"	NA	NA	y	1	1	19	NA	NA	NA	NA	NA	NA	Feb	19	2011	151	International Studies Quarterly	NA	NA	NA	"Brooks, Sarah M. (2005)"	NA	Interdependent and Domestic Foundations of Policy Change	International Studies Quarterly 49(2)	"Brooks, Sarah M. (2005): Interdependent and Domestic Foundations of Policy Change. International Studies Quarterly 49(2): 273-294."	NA	NA	NA	NA
808	Journal Archives	152	NA	14	NA	"Lai, Brian, and Dan Reiter (2005). Rally 'Round the Union Jack? Public Opinion and the Use of Force in the United Kingdom, 1948-2001. International Studies Quarterly. International Studies Quarterly 49(2)"	NA	NA	y	1	1	14	NA	NA	NA	NA	NA	NA	Feb	19	2011	152	International Studies Quarterly	NA	NA	NA	"Lai, Brian, and Dan Reiter (2005)"	NA	"Rally 'Round the Union Jack? Public Opinion and the Use of Force in the United Kingdom, 1948-2001"	International Studies Quarterly 49(2)	"Lai, Brian, and Dan Reiter (2005): Rally 'Round the Union Jack? Public Opinion and the Use of Force in the United Kingdom, 1948-2001. International Studies Quarterly 49(2): 255-272."	NA	NA	NA	NA
809	Journal Archives	153	NA	1	NA	"Sobek, David (2005).  Machiavelli's Legacy: Domestic Politics and International ConflicT. International Studies Quarterly. International Studies Quarterly 49(2)"	NA	NA	y	1	1	1	NA	NA	NA	NA	NA	NA	Feb	19	2011	153	International Studies Quarterly	NA	NA	NA	"Sobek, David (2005)"	NA	 Machiavelli's Legacy: Domestic Politics and International ConflicT	International Studies Quarterly 49(2)	"Sobek, David (2005): Machiavelli's Legacy: Domestic Politics and International Conflict. International Studies Quarterly 49(2): 179-204."	NA	NA	NA	NA
810	Journal Archives	154	NA	17	NA	"Caprioli, Mary (2005). Primed for Violence: The Role of Gender Inequality in Predicting Internal Conflict. International Studies Quarterly. International Studies Quarterly. International Studies Quarterly 49(2)"	NA	NA	y	1	1	17	NA	NA	NA	NA	NA	NA	Feb	19	2011	154	International Studies Quarterly	NA	NA	NA	"Caprioli, Mary (2005)"	NA	Primed for Violence: The Role of Gender Inequality in Predicting Internal Conflict. International Studies Quarterly	International Studies Quarterly 49(2)	"Caprioli, Mary (2005): Primed for Violence: The Role of Gender Inequality in Predicting Internal Conflict. International Studies Quarterly 49(2): 161-178."	NA	NA	NA	NA
811	Journal Archives	155	NA	6	NA	"Keller, Jonathan W. (2005). Leadership Style, Regime Type, and Foreign Policy Crisis Behavior. International Studies Quarterly. International Studies Quarterly. International Studies Quarterly 49(2)"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	155	International Studies Quarterly	NA	NA	NA	"Keller, Jonathan W. (2005)"	NA	"Leadership Style, Regime Type, and Foreign Policy Crisis Behavior. International Studies Quarterly"	International Studies Quarterly 49(2)	"Keller, Jonathan W. (2005): Leadership Style, Regime Type, and Foreign Policy Crisis Behavior. International Studies Quarterly 49(2): 205-232."	NA	NA	NA	NA
812	Journal Archives	156	NA	3	NA	"Greig, J. Michael and Paul F. Diehl (2005). The Peacekeeping-Peacemaking Dilemma . International Studies Quarterly. International Studies Quarterly 49(4)"	NA	NA	y	1	1	3	NA	NA	NA	NA	NA	NA	Feb	19	2011	156	International Studies Quarterly	NA	NA	NA	"Greig, J. Michael and Paul F. Diehl (2005)"	NA	The Peacekeeping-Peacemaking Dilemma 	International Studies Quarterly 49(4)	"Greig, J. Michael and Paul F. Diehl (2005): The Peacekeeping-Peacemaking Dilemma International Studies Quarterly 49(4):621-645."	NA	NA	NA	NA
814	Journal Archives	157	NA	19	NA	"Emilie M. Hafner-Burton. Right or Robust? The Sensitive Nature of Repression to Globalization. Journal of Peace Research. vol. 42, no. 6"	NA	NA	y	1	1	19	NA	NA	NA	NA	NA	NA	Feb	19	2011	157	Journal of Peace Research	NA	NA	NA	Emilie M. Hafner-Burton	"vol. 42, no. 6"	Right or Robust? The Sensitive Nature of Repression to Globalization	Emilie M. Hafner-Burton _ Right or Robust? The Sensitive Nature of Repression to Globalization	"Emilie M. Hafner-Burton. Right or Robust? The Sensitive Nature of Repression to Globalization. Journal of Peace Research. vol. 42, no. 6"	NA	NA	NA	NA
815	Journal Archives	158	NA	7	NA	"David H. Bearce & Sawa Omori . How Do Commercial Institutions Promote Peace?. Journal of Peace Research. vol. 42, no. 6"	NA	NA	y	1	1	7	NA	NA	NA	NA	NA	NA	Feb	19	2011	158	Journal of Peace Research	NA	NA	NA	David H. Bearce & Sawa Omori 	"vol. 42, no. 6"	How Do Commercial Institutions Promote Peace?	David H. Bearce & Sawa Omori _ How Do Commercial Institutions Promote Peace?	"David H. Bearce & Sawa Omori . How Do Commercial Institutions Promote Peace?. Journal of Peace Research. vol. 42, no. 6"	NA	NA	NA	NA
816	Journal Archives	159	NA	4	NA	"Navin Bapat . Insurgency and the Opening of Peace Processes. Journal of Peace Research. vol. 42, no. 6"	NA	NA	y	1	1	4	NA	NA	NA	NA	NA	NA	Feb	19	2011	159	Journal of Peace Research	NA	NA	NA	Navin Bapat 	"vol. 42, no. 6"	Insurgency and the Opening of Peace Processes	Navin Bapat _ Insurgency and the Opening of Peace Processes	"Navin Bapat . Insurgency and the Opening of Peace Processes. Journal of Peace Research. vol. 42, no. 6"	NA	NA	NA	NA
817	Journal Archives	160	NA	13	NA	"Lesley G. Terris & Zeev Maoz. Rational Mediation: A Theory and a Test. Journal of Peace Research. vol. 42, no. 5"	NA	NA	y	1	1	13	NA	NA	NA	NA	NA	NA	Feb	19	2011	160	Journal of Peace Research	NA	NA	NA	Lesley G. Terris & Zeev Maoz	"vol. 42, no. 5"	Rational Mediation: A Theory and a Test	Lesley G. Terris & Zeev Maoz _ Rational Mediation: A Theory and a Test	"Lesley G. Terris & Zeev Maoz. Rational Mediation: A Theory and a Test. Journal of Peace Research. vol. 42, no. 5"	NA	NA	NA	NA
818	Journal Archives	161	NA	25	NA	"Lotta Harbom & Peter Wallensteen. Armed Conflict and Its International Dimensions, 1946-2004. Journal of Peace Research. vol. 42, no. 5"	NA	NA	y	1	1	25	NA	NA	NA	NA	NA	NA	Feb	19	2011	161	Journal of Peace Research	NA	NA	NA	Lotta Harbom & Peter Wallensteen	"vol. 42, no. 5"	"Armed Conflict and Its International Dimensions, 1946-2004"	"Lotta Harbom & Peter Wallensteen _ Armed Conflict and Its International Dimensions, 1946-2004"	"Lotta Harbom & Peter Wallensteen. Armed Conflict and Its International Dimensions, 1946-2004. Journal of Peace Research. vol. 42, no. 5"	NA	NA	NA	NA
819	Journal Archives	162	NA	6	NA	"Atsushi Tago. Determinants of Multilateralism in US Use of Force: State of Economy, Election Cycle, and Divided Government. Journal of Peace Research. vol. 42, no. 5"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	162	Journal of Peace Research	NA	NA	NA	Atsushi Tago	"vol. 42, no. 5"	"Determinants of Multilateralism in US Use of Force: State of Economy, Election Cycle, and Divided Government"	"Atsushi Tago _ Determinants of Multilateralism in US Use of Force: State of Economy, Election Cycle, and Divided Government"	"Atsushi Tago. Determinants of Multilateralism in US Use of Force: State of Economy, Election Cycle, and Divided Government. Journal of Peace Research. vol. 42, no. 5"	NA	NA	NA	NA
820	Journal Archives	163	NA	5	NA	"Jaroslav Tir. Dividing Countries to Promote Peace: Prospects for Long-Term Success of Partitions. Journal of Peace Research. vol. 42, no. 5"	NA	NA	y	1	1	5	NA	NA	NA	NA	NA	NA	Feb	19	2011	163	Journal of Peace Research	NA	NA	NA	Jaroslav Tir	"vol. 42, no. 5"	Dividing Countries to Promote Peace: Prospects for Long-Term Success of Partitions	Jaroslav Tir _ Dividing Countries to Promote Peace: Prospects for Long-Term Success of Partitions	"Jaroslav Tir. Dividing Countries to Promote Peace: Prospects for Long-Term Success of Partitions. Journal of Peace Research. vol. 42, no. 5"	NA	NA	NA	NA
821	Journal Archives	164	NA	12	NA	"Hyung Min Kim & David L. Rousseau.  The Classical Liberals Were Half Right (or Half Wrong): New Tests of the Liberal Peace. Journal of Peace Research. vol. 42, no. 5"	NA	NA	y	1	1	12	NA	NA	NA	NA	NA	NA	Feb	19	2011	164	Journal of Peace Research	NA	NA	NA	Hyung Min Kim & David L. Rousseau	"vol. 42, no. 5"	 The Classical Liberals Were Half Right (or Half Wrong): New Tests of the _Liberal Peace__	"Hyung Min Kim & David L. Rousseau _ The Classical Liberals Were Half Right (or Half Wrong): New Tests of the _Liberal Peace__, 1960-88"	"Hyung Min Kim & David L. Rousseau.  The Classical Liberals Were Half Right (or Half Wrong): New Tests of the Liberal Peace. Journal of Peace Research. vol. 42, no. 5"	NA	NA	NA	NA
822	Journal Archives	165	NA	15	NA	"Marie L. Besan_on. Relative Resources: Inequality in Ethnic Wars, Revolutions, and Genocides. Journal of Peace Research. vol. 42, no. 4"	NA	NA	y	1	1	15	NA	NA	NA	NA	NA	NA	Feb	19	2011	165	Journal of Peace Research	NA	NA	NA	Marie L. Besan_on	"vol. 42, no. 4"	"Relative Resources: Inequality in Ethnic Wars, Revolutions, and Genocides"	"Marie L. Besan_on _ Relative Resources: Inequality in Ethnic Wars, Revolutions, and Genocides"	"Marie L. Besan_on. Relative Resources: Inequality in Ethnic Wars, Revolutions, and Genocides. Journal of Peace Research. vol. 42, no. 4"	NA	NA	NA	NA
823	Journal Archives	166	NA	21	NA	"Henrik Urdal. People vs. Malthus: Population Pressure, Environmental Degradation, and Armed Conflict Revisited. Journal of Peace Research. vol. 42, no. 4"	NA	NA	y	1	1	21	NA	NA	NA	NA	NA	NA	Feb	19	2011	166	Journal of Peace Research	NA	NA	NA	Henrik Urdal	"vol. 42, no. 4"	"People vs. Malthus: Population Pressure, Environmental Degradation, and Armed Conflict Revisited"	"Henrik Urdal _ People vs. Malthus: Population Pressure, Environmental Degradation, and Armed Conflict Revisited"	"Henrik Urdal. People vs. Malthus: Population Pressure, Environmental Degradation, and Armed Conflict Revisited. Journal of Peace Research. vol. 42, no. 4"	NA	NA	NA	NA
824	Journal Archives	167	NA	11	NA	"Quan Li & Ming Wen. The Immediate and Lingering Effects of Armed Conflict on Adult Mortality: A Time-Series Cross-National Analysis. Journal of Peace Research. vol. 42, no. 4"	NA	NA	y	1	1	11	NA	NA	NA	NA	NA	NA	Feb	19	2011	167	Journal of Peace Research	NA	NA	NA	Quan Li & Ming Wen	"vol. 42, no. 4"	The Immediate and Lingering Effects of Armed Conflict on Adult Mortality: A Time-Series Cross-National Analysis	Quan Li & Ming Wen _ The Immediate and Lingering Effects of Armed Conflict on Adult Mortality: A Time-Series Cross-National Analysis	"Quan Li & Ming Wen. The Immediate and Lingering Effects of Armed Conflict on Adult Mortality: A Time-Series Cross-National Analysis. Journal of Peace Research. vol. 42, no. 4"	NA	NA	NA	NA
825	Journal Archives	168	NA	1	NA	"Karen Rasler & William R. Thompson . War, Trade, and the Mediation of Systemic Leadership. Journal of Peace Research. vol. 42, no. 3"	NA	NA	y	1	1	1	NA	NA	NA	NA	NA	NA	Feb	19	2011	168	Journal of Peace Research	NA	NA	NA	Karen Rasler & William R. Thompson 	"vol. 42, no. 3"	"War, Trade, and the Mediation of Systemic Leadership"	"Karen Rasler & William R. Thompson _ War, Trade, and the Mediation of Systemic Leadership"	"Karen Rasler & William R. Thompson . War, Trade, and the Mediation of Systemic Leadership. Journal of Peace Research. vol. 42, no. 3"	NA	NA	NA	NA
826	Journal Archives	169	NA	13	NA	"James Meernik. Justice and Peace? How the International Criminal Tribunal Affects Societal Peace in Bosnia. Journal of Peace Research. vol. 42, no. 3"	NA	NA	y	1	1	13	NA	NA	NA	NA	NA	NA	Feb	19	2011	169	Journal of Peace Research	NA	NA	NA	James Meernik	"vol. 42, no. 3"	Justice and Peace? How the International Criminal Tribunal Affects Societal Peace in Bosnia	James Meernik _ Justice and Peace? How the International Criminal Tribunal Affects Societal Peace in Bosnia	"James Meernik. Justice and Peace? How the International Criminal Tribunal Affects Societal Peace in Bosnia. Journal of Peace Research. vol. 42, no. 3"	NA	NA	NA	NA
827	Journal Archives	170	NA	5	NA	"Christina Schatzman . Political Challenge in Latin America: Rebellion and Collective Protest in an Era of Democratization. Journal of Peace Research. vol. 42, no. 3"	NA	NA	y	1	1	5	NA	NA	NA	NA	NA	NA	Feb	19	2011	170	Journal of Peace Research	NA	NA	NA	Christina Schatzman 	"vol. 42, no. 3"	Political Challenge in Latin America: Rebellion and Collective Protest in an Era of Democratization	Christina Schatzman _ Political Challenge in Latin America: Rebellion and Collective Protest in an Era of Democratization	"Christina Schatzman . Political Challenge in Latin America: Rebellion and Collective Protest in an Era of Democratization. Journal of Peace Research. vol. 42, no. 3"	NA	NA	NA	NA
828	Journal Archives	171	NA	6	NA	"Jacob Shamir & Khalil Shikaki . Public Opinion in the IsraeliPalestinian Two-Level Game. Journal of Peace Research. vol. 42, no. 3"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	171	Journal of Peace Research	NA	NA	NA	Jacob Shamir & Khalil Shikaki 	"vol. 42, no. 3"	Public Opinion in the Israeli_Palestinian Two-Level Game	Jacob Shamir & Khalil Shikaki _ Public Opinion in the Israeli_Palestinian Two-Level Game	"Jacob Shamir & Khalil Shikaki . Public Opinion in the IsraeliPalestinian Two-Level Game. Journal of Peace Research. vol. 42, no. 3"	NA	NA	NA	NA
829	Journal Archives	172	NA	5	NA	"Douglas M. Gibler, Toby J. Rider & Marc L. Hutchison . Taking Arms Against a Sea of Troubles: Conventional Arms Races During Periods of Rivalry. Journal of Peace Research. vol. 42, no. 2"	NA	NA	y	1	1	5	NA	NA	NA	NA	NA	NA	Feb	19	2011	172	Journal of Peace Research	NA	NA	NA	"Douglas M. Gibler, Toby J. Rider & Marc L. Hutchison "	"vol. 42, no. 2"	Taking Arms Against a Sea of Troubles: Conventional Arms Races During Periods of Rivalry	"Douglas M. Gibler, Toby J. Rider & Marc L. Hutchison - Taking Arms Against a Sea of Troubles: Conventional Arms Races During Periods of Rivalry"	"Douglas M. Gibler, Toby J. Rider & Marc L. Hutchison . Taking Arms Against a Sea of Troubles: Conventional Arms Races During Periods of Rivalry. Journal of Peace Research. vol. 42, no. 2"	NA	NA	NA	NA
830	Journal Archives	173	NA	5	NA	"Ron P. Smith & Ali Tasiran. The Demand for Arms Imports. Journal of Peace Research. vol. 42, no. 2"	NA	NA	y	1	1	5	NA	NA	NA	NA	NA	NA	Feb	19	2011	173	Journal of Peace Research	NA	NA	NA	Ron P. Smith & Ali Tasiran	"vol. 42, no. 2"	The Demand for Arms Imports	Ron P. Smith & Ali Tasiran _ The Demand for Arms Imports	"Ron P. Smith & Ali Tasiran. The Demand for Arms Imports. Journal of Peace Research. vol. 42, no. 2"	NA	NA	NA	NA
831	Journal Archives	174	NA	6	NA	"Erik Melander . Political Gender Equality and State Human Rights Abuse. Journal of Peace Research. vol. 42, no. 2"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	174	Journal of Peace Research	NA	NA	NA	Erik Melander 	"vol. 42, no. 2"	Political Gender Equality and State Human Rights Abuse	Erik Melander _ Political Gender Equality and State Human Rights Abuse	"Erik Melander . Political Gender Equality and State Human Rights Abuse. Journal of Peace Research. vol. 42, no. 2"	NA	NA	NA	NA
832	Journal Archives	175	NA	6	NA	"J. Joseph Hewitt. A Crisis-Density Formulation for Identifying Rivalries. Journal of Peace Research. vol. 42, no. 2"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	175	Journal of Peace Research	NA	NA	NA	J. Joseph Hewitt	"vol. 42, no. 2"	A Crisis-Density Formulation for Identifying Rivalries	J. Joseph Hewitt _ A Crisis-Density Formulation for Identifying Rivalries	"J. Joseph Hewitt. A Crisis-Density Formulation for Identifying Rivalries. Journal of Peace Research. vol. 42, no. 2"	NA	NA	NA	NA
833	Journal Archives	176	NA	4	NA	"Charles R. Boehmer & David Sobek. Violent Adolescence: State Development and the Propensity for Militarized Interstate Conflict. Journal of Peace Research. vol. 42, no. 1"	NA	NA	y	1	1	4	NA	NA	NA	NA	NA	NA	Feb	19	2011	176	Journal of Peace Research	NA	NA	NA	Charles R. Boehmer & David Sobek	"vol. 42, no. 1"	Violent Adolescence: State Development and the Propensity for Militarized Interstate Conflict	Charles R. Boehmer & David Sobek _ Violent Adolescence: State Development and the Propensity for Militarized Interstate Conflict	"Charles R. Boehmer & David Sobek. Violent Adolescence: State Development and the Propensity for Militarized Interstate Conflict. Journal of Peace Research. vol. 42, no. 1"	NA	NA	NA	NA
834	Journal Archives	177	NA	1	NA	"Karl R. DeRouen Jr & Shaun Goldfinch. Putting the Numbers to Work: Implications for Violence Prevention. Journal of Peace Research. vol. 42, no. 1"	NA	NA	y	1	1	1	NA	NA	NA	NA	NA	NA	Feb	19	2011	177	Journal of Peace Research	NA	NA	NA	Karl R. DeRouen Jr & Shaun Goldfinch	"vol. 42, no. 1"	Putting the Numbers to Work: Implications for Violence Prevention	Karl R. DeRouen Jr & Shaun Goldfinch _ Putting the Numbers to Work: Implications for Violence Prevention	"Karl R. DeRouen Jr & Shaun Goldfinch. Putting the Numbers to Work: Implications for Violence Prevention. Journal of Peace Research. vol. 42, no. 1"	NA	NA	NA	NA
835	Journal Archives	178	NA	6	NA	"Vally Koubi. War and Economic Performance. Journal of Peace Research. vol. 42, no. 1"	NA	NA	y	1	1	6	NA	NA	NA	NA	NA	NA	Feb	19	2011	178	Journal of Peace Research	NA	NA	NA	Vally Koubi	"vol. 42, no. 1"	War and Economic Performance	Vally Koubi _ War and Economic Performance	"Vally Koubi. War and Economic Performance. Journal of Peace Research. vol. 42, no. 1"	NA	NA	NA	NA
836	Journal Archives	179	NA	2	NA	"Yehudith Auerbach & Yaeli Bloch-Elkon. Media Framing and Foreign Policy: The Elite Press vis-_-vis US Policy in Bosnia. Journal of Peace Research. vol. 42, no. 1"	NA	NA	y	1	1	2	NA	NA	NA	NA	NA	NA	Feb	19	2011	179	Journal of Peace Research	NA	NA	NA	Yehudith Auerbach & Yaeli Bloch-Elkon	"vol. 42, no. 1"	Media Framing and Foreign Policy: The Elite Press vis--vis US Policy in Bosnia	"Yehudith Auerbach & Yaeli Bloch-Elkon _ Media Framing and Foreign Policy: The Elite Press vis--vis US Policy in Bosnia, 1992-95"	"Yehudith Auerbach & Yaeli Bloch-Elkon. Media Framing and Foreign Policy: The Elite Press vis-_-vis US Policy in Bosnia. Journal of Peace Research. vol. 42, no. 1"	NA	NA	NA	NA
837	Journal Archives	180	NA	9	NA	"Eric Neumayer. Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft. Journal of Peace Research. vol. 42, no. 1"	NA	NA	y	1	1	9	NA	NA	NA	NA	NA	NA	Feb	19	2011	180	Journal of Peace Research	NA	NA	NA	Eric Neumayer	"vol. 42, no. 1"	Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft	Eric Neumayer _ Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft	"Eric Neumayer. Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft. Journal of Peace Research. vol. 42, no. 1"	NA	NA	NA	NA
0	Pangaea	http://doi.pangaea.de/10.1594/PANGAEA.425284	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=0	40	NA	"Armand, Leanne K; Crosta, Xavier; Romero, Oscar E; Pichon, Jean-Jacques (2005): The biogeography of major diatom taxa in Southern Ocean sediments: 1. Ice related species. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(1-2), 93-126, doi:10.1016/j.palaeo.2005.02.015"	NA	NA	y	1	1	40	NA	http://doi.pangaea.de/10.1594/PANGAEA.425284 OR 10.1594/PANGAEA.425284 OR doi:10.1594/PANGAEA.425284 -site:scientificcommons.org	0	NA	NA	NA	Nov	25	2010	10.1594/PANGAEA.425284	NA	NA	NA	NA	NA	NA	NA	NA	NA	doi:10.1594/PANGAEA.425284	NA	NA	NA
