index number,summary,url,Dropbox name,article reference,Article DOI,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,# WoS Cited by collected?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Scholar query,GS relevant results
81,"Published: PR C71,044603 Preprint: NUCL-EX/0409018 (Spires ID: 5997119)",http://hepdata.cedar.ac.uk/view/p3095,p3095,"L.Y. Zhu et al. Phys.Rev.C71:044603,2005.",10.1103/PhysRevC.71.044603,Y,1,14,12,,,"HEPData AND ""p3095"""
82,"Published: PRL 94,221801 (Spires ID: 5992206)",http://hepdata.cedar.ac.uk/view/p5880,p5880,"V.M. Abazov et al. Phys.Rev.Lett.94:221801,2005.",10.1103/PhysRevLett.94.221801,Y,1,29,18,,,"HEPData AND ""p5880"""
83,Published: HEP-EX/0409030 (Spires ID: 5986290),http://hepdata.cedar.ac.uk/view/p1342,p1342,"R.R. Akhmetshin et al. Phys.Lett.B605:26-36,2005.",10.1016/j.physletb.2004.11.020,Y,1,19,13,,,"HEPData AND ""p1342"""
84,"Published: PR D71,072005 Preprint: HEP-EX/0409029 (Spires ID: 5984939)",http://hepdata.cedar.ac.uk/view/p1341,p1341,"Darin E. Acosta et al. Phys.Rev.D71:072005,2005.",10.1103/PhysRevD.71.072005,Y,1,24,24,,,"HEPData AND ""p1341"""
85,"Published: EPJ C38,447 Preprint: DESY-04-156 (Spires ID: 5975530)",http://hepdata.cedar.ac.uk/view/p728,p728,"A. Aktas et al. Eur.Phys.J.C38:447-459,2005. ",10.1140/epjc/s2004-02069-x,Y,1,42,34,,,"HEPData AND ""p728"""
86,"Published: PL B605,256 Preprint: HEP-EX/0408005 (Spires ID: 5944201)",http://hepdata.cedar.ac.uk/view/p1338,p1338,"C. Hadjidakis et al. Phys.Lett.B605:256-264,2005.",10.1016/j.physletb.2004.11.019,Y,1,23,21,,,"HEPData AND ""p1338"""
87,"Published: PL B606,12 Preprint: HEP-EX/0407048 (Spires ID: 5938996)",http://hepdata.cedar.ac.uk/view/p1337,p1337,"A. Aloisio et al. Phys.Lett.B606:12-24,2005. ",10.1016/j.physletb.2004.11.068,Y,2,147,97,,,"HEPData AND ""p1337"""
88,"Published: PRL 94,012003 Preprint: HEP-EX/0407022 (Spires ID: 5925843)",http://hepdata.cedar.ac.uk/view/p1336,p1336,"O. Bartholomy et al. Phys.Rev.Lett.94:012003,2005. ",10.1103/PhysRevLett.94.012003,Y,1,46,40,,,"HEPData AND ""p1336"""
89,"Published: EPJ C38,437 Preprint: DESY-04-118 (Spires ID: 5925800)",http://hepdata.cedar.ac.uk/view/p727,p727,"A. Aktas et al. Eur.Phys.J.C38:437-445,2005. ",10.1140/epjc/s2004-02085-x,Y,1,23,15,,,"HEPData AND ""p727"""
90,"Published: PRL 94,062301 Archive: ARXIV:nucl-ex/0407006 (Spires ID: 5922518)",http://hepdata.cedar.ac.uk/view/p8027,p8027,"J. Adams et al. Phys.Rev.Lett.94:062301,2005. e-Print: nucl-ex/0407006",10.1103/PhysRevLett.94.062301,Y,1,141,122,,,"HEPData AND ""p8027"""
91,"Published: PRL 94,012004 (Spires ID: 5731429)",http://hepdata.cedar.ac.uk/view/p1333,p1333,"Volker Crede et al. Phys.Rev.Lett.94:012004,2005. ",10.1103/PhysRevLett.94.012004 ,Y,1,96,85,,,"HEPData AND ""p1333"""
92,"Published: PR D69,072002 (Spires ID: 5592429)",http://hepdata.cedar.ac.uk/view/p5113,p5113,"W. Dunwoodie et al. Phys.Rev.D69:072002,2004",10.1103/PhysRevD.69.072002,Y,1,3,3,,,"HEPData AND ""p5113"""
